group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part1,Parse_string_dynamically,,,,1675307.0,ns,2
day06_part1,Parse_string_dynamically,,,,3296968.0,ns,4
day06_part1,Parse_string_dynamically,,,,4319828.0,ns,6
day06_part1,Parse_string_dynamically,,,,5303698.0,ns,8
day06_part1,Parse_string_dynamically,,,,6914532.0,ns,10
day06_part1,Parse_string_dynamically,,,,7802561.0,ns,12
day06_part1,Parse_string_dynamically,,,,9197330.0,ns,14
day06_part1,Parse_string_dynamically,,,,10009835.0,ns,16
day06_part1,Parse_string_dynamically,,,,11145141.0,ns,18
day06_part1,Parse_string_dynamically,,,,12432344.0,ns,20
day06_part1,Parse_string_dynamically,,,,13509847.0,ns,22
day06_part1,Parse_string_dynamically,,,,14915603.0,ns,24
day06_part1,Parse_string_dynamically,,,,15631259.0,ns,26
day06_part1,Parse_string_dynamically,,,,16927629.0,ns,28
day06_part1,Parse_string_dynamically,,,,18189889.0,ns,30
day06_part1,Parse_string_dynamically,,,,19749341.0,ns,32
day06_part1,Parse_string_dynamically,,,,21326645.0,ns,34
day06_part1,Parse_string_dynamically,,,,22035252.0,ns,36
day06_part1,Parse_string_dynamically,,,,23059013.0,ns,38
day06_part1,Parse_string_dynamically,,,,24239028.0,ns,40
day06_part1,Parse_string_dynamically,,,,25191212.0,ns,42
day06_part1,Parse_string_dynamically,,,,27562252.0,ns,44
day06_part1,Parse_string_dynamically,,,,28177818.0,ns,46
day06_part1,Parse_string_dynamically,,,,29814088.0,ns,48
day06_part1,Parse_string_dynamically,,,,31535766.0,ns,50
day06_part1,Parse_string_dynamically,,,,32625838.0,ns,52
day06_part1,Parse_string_dynamically,,,,32868677.0,ns,54
day06_part1,Parse_string_dynamically,,,,35392794.0,ns,56
day06_part1,Parse_string_dynamically,,,,34521950.0,ns,58
day06_part1,Parse_string_dynamically,,,,35767933.0,ns,60
day06_part1,Parse_string_dynamically,,,,38082138.0,ns,62
day06_part1,Parse_string_dynamically,,,,39259763.0,ns,64
day06_part1,Parse_string_dynamically,,,,39745317.0,ns,66
day06_part1,Parse_string_dynamically,,,,40795118.0,ns,68
day06_part1,Parse_string_dynamically,,,,48207259.0,ns,70
day06_part1,Parse_string_dynamically,,,,46076443.0,ns,72
day06_part1,Parse_string_dynamically,,,,45988452.0,ns,74
day06_part1,Parse_string_dynamically,,,,47575427.0,ns,76
day06_part1,Parse_string_dynamically,,,,50251482.0,ns,78
day06_part1,Parse_string_dynamically,,,,62034143.0,ns,80
day06_part1,Parse_string_dynamically,,,,49033482.0,ns,82
day06_part1,Parse_string_dynamically,,,,51581687.0,ns,84
day06_part1,Parse_string_dynamically,,,,51265158.0,ns,86
day06_part1,Parse_string_dynamically,,,,53799768.0,ns,88
day06_part1,Parse_string_dynamically,,,,54176050.0,ns,90
day06_part1,Parse_string_dynamically,,,,56414817.0,ns,92
day06_part1,Parse_string_dynamically,,,,61489533.0,ns,94
day06_part1,Parse_string_dynamically,,,,61366476.0,ns,96
day06_part1,Parse_string_dynamically,,,,62722780.0,ns,98
day06_part1,Parse_string_dynamically,,,,64339768.0,ns,100
day06_part1,Parse_string_dynamically,,,,63878867.0,ns,102
day06_part1,Parse_string_dynamically,,,,62283635.0,ns,104
day06_part1,Parse_string_dynamically,,,,63887066.0,ns,106
day06_part1,Parse_string_dynamically,,,,63776410.0,ns,108
